,PLACEID,BOROUGH CODE,FACILITY TYPE,FEATURE NAME,longitude,latitude,FACILITY TYPE NAME,ACTIVITY_CATEGORY,BOROUGH NAME
6770,1038764,5.0,4,OCEAN BREEZE PARK,-74.078594376034,40.586164561248,Recreational Facility,recreation,Staten Island
6771,15796,3.0,3,PACIFIC LIBRARY,-73.978584827177,40.683474864962,Cultural Facility,culture,Brooklyn
6775,1036048,3.0,4,BROWNSVILLE COMMUNITY FARM,-73.914034305644,40.664166761924,Recreational Facility,recreation,Brooklyn
6785,1638,1.0,9,CHRISTIAN COMMUNITY CHURCH,-73.984191039796,40.78156424591,Religious Institution,culture,Manhattan
6786,1006724,3.0,9,BETHLEHEM BAPTIST CHURCH,-73.889012463423,40.658822104293,Religious Institution,culture,Brooklyn
6787,1029853,1.0,4,MARCUS GARVEY PLAYGROUND 124 ST NEAR MADISON AV,-73.942275015705,40.80536847095,Recreational Facility,recreation,Manhattan
6789,1056,2.0,4,KOSSUTH PLAYGROUND,-73.88262490575,40.877831199558,Recreational Facility,recreation,Bronx
6793,1031180,2.0,6,BRUCKNER EXPWY SB OVER BX RIVER,-73.884347381765,40.822899033876,Transportation Facility,transportation,Bronx
6795,1034290,1.0,6,NORTH RIVER TUNNEL SOUTH TUBE,-74.007839664083,40.756357062632,Transportation Facility,transportation,Manhattan
6796,1035109,4.0,4,RORY STAUNTON FIELD,-73.888377406807,40.754083146481,Recreational Facility,recreation,Queens
6798,15826,3.0,3,BEDFORD LIBRARY,-73.956150137559,40.681810051022,Cultural Facility,culture,Brooklyn
6802,1026594,1.0,9,SOCIETY JEWISH SCIENCE,-73.978213420777,40.750044356881,Religious Institution,culture,Manhattan
6803,1036433,3.0,4,LINDOWER PARK,-73.911522395679,40.612110271523,Recreational Facility,recreation,Brooklyn
6805,1031158,1.0,6,HHP NB OVER RAMP TO   96 ST,-73.976341521411,40.796051673688,Transportation Facility,transportation,Manhattan
6806,1036659,3.0,4,MCDONALD PLAYGROUND,-73.972102336678,40.600568462548,Recreational Facility,recreation,Brooklyn
6807,1036325,4.0,4,BEACH 17 ST PLAYGROUND BALLFIELD,-73.750764340253,40.59470222795,Recreational Facility,recreation,Queens
6814,1036588,3.0,4,CRISPUS ATTUCKS PLAYGROUND,-73.958922728403,40.681503202494,Recreational Facility,recreation,Brooklyn
6816,5101,2.0,4,CAROLYN MCLAUGHLIN COMMUNITY CENTER,-73.918770755253,40.832541075635,Recreational Facility,recreation,Bronx
6825,1031712,3.0,6,MONTGOMERY ST OVER FRANKLIN SHTL,-73.960627983054,40.666457461801,Transportation Facility,transportation,Brooklyn
6826,8475,4.0,9,ALL SAINTS EPISCOPAL CHURCH WOODHAVEN,-73.849299787486,40.696266167417,Religious Institution,culture,Queens
6833,7717,5.0,6,HOWLAND HOOK MARINE TERMINAL,-74.181631272264,40.634311499378,Transportation Facility,transportation,Staten Island
6834,3783,1.0,9,NOTRE DAME CHURCH,-73.960335041719,40.805043378567,Religious Institution,culture,Manhattan
6836,1036531,3.0,4,BUSHWICK PLAYGROUND KNICKERBOCKER AVE,-73.91213824807,40.696012484057,Recreational Facility,recreation,Brooklyn
6837,1002130,1.0,4,CENTRAL PARK CHESS & CHECKERS HOUSE,-73.974626965196,40.769121494863,Recreational Facility,recreation,Manhattan
6838,1036333,1.0,4,HARLEM RIVER DRIVE MALLS,-73.934901187298,40.826766755057,Recreational Facility,recreation,Manhattan
6839,1031413,2.0,6,BX RIV PKWY OVR BOSTON RD BX ZOO,-73.871914669713,40.854061777001,Transportation Facility,transportation,Bronx
6840,5773,1.0,3,YALE CLUB,-73.977512089967,40.753983420184,Cultural Facility,culture,Manhattan
6841,3875,1.0,9,ST JOHN BAPTIST RC CHURCH,-73.992902284368,40.748904856031,Religious Institution,culture,Manhattan
6843,1022149,1.0,4,DRY DOCK PLAYGROUND,-73.975241803272,40.725476557062,Recreational Facility,recreation,Manhattan
6846,1028311,5.0,9,HOUSE ON THE ROCK,-74.24266746346,40.510825130598,Religious Institution,culture,Staten Island
6850,1294,1.0,4,6 ST AND AVE B COMMUNITY GARDEN,-73.98210700219,40.724321689793,Recreational Facility,recreation,Manhattan
6854,9594,1.0,4,YM & YWHA OF WASHINGTON HEIGHTS AND INWOOD,-73.929478796561,40.860116349898,Recreational Facility,recreation,Manhattan
6855,1066,2.0,4,TREMONT PLAYGROUND E TREMONT AV & ARTHUR AV,-73.893787184104,40.846042991244,Recreational Facility,recreation,Bronx
6856,10538,2.0,3,MELROSE LIBRARY,-73.91766841516,40.826588011802,Cultural Facility,culture,Bronx
6857,12894,4.0,4,FRANCIS LEWIS PLAYGROUND AT FRANCIS LEWIS PARK,-73.824495769018,40.796449982691,Recreational Facility,recreation,Queens
6860,1022245,3.0,4,FORT GREENE CRYPT,-73.976179127727,40.692262398946,Recreational Facility,recreation,Brooklyn
6863,1558,4.0,4,CASTLEWOOD PLAYGROUND,-73.722286258487,40.749278263424,Recreational Facility,recreation,Queens
